year,org_size,org_size_order,board_priority_pct,board_priority_mean_norm
2018,Micro,1,0.7219047577385614,0.648840570683377
2018,Small,2,0.8020792659117533,0.7185728203930103
2018,Medium,3,0.9129210503987782,0.7819871033429493
2018,Large,4,0.920197270606438,0.828850826191541
2019,Micro,1,0.7784639329585846,0.6999823203018717
2019,Small,2,0.8536109274228232,0.7594321597055
2019,Medium,3,0.9541940408925985,0.8311777819041752
2019,Large,4,0.9690277650508566,0.9208334606025435
2020,Micro,1,0.7974121467785354,0.7049760660197666
2020,Small,2,0.8798869439997137,0.7855386612825096
2020,Medium,3,0.9419875848818433,0.8468987974385686
2020,Large,4,0.9803826559797567,0.9174433968401382
2021,Micro,1,0.7556100456237747,0.6842067688110712
2021,Small,2,0.8690226702682272,0.7699288584106662
2021,Medium,3,0.9447128780379069,0.8137143706306695
2021,Large,4,0.9758693068695693,0.8373718354348979
2022,Micro,1,0.8127346919541726,0.7120283420383419
2022,Small,2,0.8848206945630067,0.7785160628280403
2022,Medium,3,0.9362739169687783,0.8069636125509652
2022,Large,4,0.9847260469805726,0.8816531985011962
2023,Micro,1,0.6982880458443841,0.6483552515584492
2023,Small,2,0.8177189320894456,0.7485495592204593
2023,Medium,3,0.9472567342578603,0.8462725397543364
2023,Large,4,0.9946708428630981,0.9145532183377085
2024,Micro,1,0.7353345522663485,0.6634328863802665
2024,Small,2,0.847900811499422,0.7484380163226617
2024,Medium,3,0.9316453675213012,0.8388126329982789
2024,Large,4,0.9773701129716273,0.8897831668093958
2025,Micro,1,0.6892419920016694,-4.385150878645215
2025,Small,2,0.8450865328470133,-0.8501222578318858
2025,Medium,3,0.919464843789283,0.8046959684368404
2025,Large,4,0.9638235304422756,-3.436626486154639
